date,ticker,horizon,model_name,actual_return,predicted_return,actual_profit_label,predicted_profit_label,predicted_profit_probability,ranking_group,normalized_predicted_return,return_strength,profit_confidence,combined_score,gated_valid_signal,return_only_signal_label,probability_only_signal_label,combined_signal_label,return_rank_score,profit_probability_rank_score,rank_based_joint_score
2024-01-30,ACB,20d,lightgbm,0.0611888111888112,-0.1128354708886817,1,0,0.0007434003718648,2024-01-30,0.11601217600663714,0.11601217600663714,0.0007434003718648,0.05837778818925097,False,reject,reject,reject,0.09090909090909094,0.18181818181818177,0.13636363636363635
2024-01-30,DGC,20d,lightgbm,-0.0362327123099782,-0.0567939954978241,0,0,0.0133813662193089,2024-01-30,0.28902131687331,0.28902131687331,0.0133813662193089,0.15120134154630946,False,reject,reject,reject,0.4545454545454546,0.36363636363636365,0.4090909090909091
2024-01-30,HPG,20d,lightgbm,0.0202020202020203,0.1307638616846602,1,1,0.9936564844874832,2024-01-30,0.8680428987931426,0.8680428987931426,0.9936564844874832,0.9308496916403128,True,strong_positive,strong_positive,strong_positive,1.0,0.8181818181818181,0.9090909090909091
2024-01-30,MWG,20d,lightgbm,0.0693641618497109,-0.049717833771981,1,0,0.0160981469766908,2024-01-30,0.31086657794617367,0.31086657794617367,0.0160981469766908,0.16348236246143225,False,reject,reject,reject,0.5454545454545454,0.4545454545454546,0.5
2024-01-30,ACB,20d,xgboost,0.0611888111888112,-0.0720840543508529,1,0,0.0079801054671406,2024-01-30,0.1937269817756984,0.1937269817756984,0.0079801054671406,0.10085354362141949,False,reject,reject,reject,0.36363636363636365,0.2727272727272727,0.3181818181818182
2024-01-30,DGC,20d,xgboost,-0.0362327123099782,-0.0932758226990699,0,0,0.0816338509321212,2024-01-30,0.12511529314684716,0.12511529314684716,0.0816338509321212,0.10337457203948418,False,reject,reject,reject,0.2727272727272727,0.5454545454545454,0.40909090909090906
2024-01-30,HPG,20d,xgboost,0.0202020202020203,0.1134505197405815,1,1,0.8048279881477356,2024-01-30,0.7944243949540126,0.7944243949540126,0.8048279881477356,0.7996261915508741,True,strong_positive,strong_positive,strong_positive,0.9090909090909091,0.7272727272727273,0.8181818181818181
2024-01-30,MWG,20d,xgboost,0.0693641618497109,-0.0454721264541149,1,0,0.1308746337890625,2024-01-30,0.2798872908476901,0.2798872908476901,0.1308746337890625,0.2053809623183763,False,reject,reject,reject,0.6363636363636364,0.6363636363636364,0.6363636363636364
2024-01-31,ACB,20d,cart,0.0296296296296296,-0.0963611859838274,1,1,1.0,2024-01-31,0.33444728468645585,0.33444728468645585,1.0,0.667223642343228,False,reject,strong_positive,weak_or_uncertain,0.18181818181818177,0.9090909090909091,0.5454545454545454
2024-01-31,DGC,20d,cart,-0.0382114748488651,-0.142944560029372,0,0,0.0,2024-01-31,0.18128348363842892,0.18128348363842892,0.0,0.09064174181921446,False,reject,reject,reject,0.0,0.0,0.0
