date,ticker,model_name,prediction_date,target_date,horizon,horizon_days,actual_return,predicted_return,absolute_error,pct_error
2023-02-01,HPG,cart,2023-01-27,2023-02-01,3d,3,-0.019030079803560418,0.047781569965870574,0.06681164976943099,351.0844434658173
2023-02-02,HPG,cart,2023-01-30,2023-02-02,3d,3,-0.020631067961165095,0.047781569965870574,0.06841263792703567,331.60008030516036
2023-02-03,HPG,cart,2023-01-31,2023-02-03,3d,3,-0.04540023894862588,0.054694229112833836,0.10009446806145972,220.47123623011075
2023-02-06,HPG,cart,2023-02-01,2023-02-06,3d,3,0.0025031289111387967,-0.038225255972696326,0.04072838488383512,1627.0989761092956
2023-02-07,HPG,cart,2023-02-02,2023-02-07,3d,3,-0.07311028500619576,0.057495969908651245,0.130606254914847,178.64279273946028
2023-02-08,HPG,cart,2023-02-03,2023-02-08,3d,3,-0.011889862327910006,0.0,0.011889862327910006,100.0
2023-02-09,HPG,cart,2023-02-06,2023-02-09,3d,3,-0.025593008739076217,0.08962439568612868,0.1152174044252049,450.190931437019
2023-02-10,HPG,cart,2023-02-07,2023-02-10,3d,3,0.03810160427807485,-0.03573225968797189,0.07383386396604674,193.78150963720344
2023-02-13,HPG,cart,2023-02-08,2023-02-13,3d,3,-0.031032298923369117,-0.011584327086882396,0.01944797183648672,62.67009699961762
2023-02-14,HPG,cart,2023-02-09,2023-02-14,3d,3,0.0,-0.011584327086882396,0.011584327086882396,
2023-02-15,HPG,cart,2023-02-10,2023-02-15,3d,3,0.01481004507405026,-0.04050785973397819,0.05531790480802845,373.51611376899126
2023-02-16,HPG,cart,2023-02-13,2023-02-16,3d,3,0.05490196078431375,-0.019230769230769273,0.07413273001508303,135.02747252747258
2023-02-17,HPG,cart,2023-02-14,2023-02-17,3d,3,0.019218449711723373,-0.019230769230769273,0.03844921894249265,200.06410256410217
2023-02-20,HPG,cart,2023-02-15,2023-02-20,3d,3,0.05266497461928932,-0.06456776947705434,0.11723274409634366,222.60096951305744
2023-02-21,HPG,cart,2023-02-16,2023-02-21,3d,3,0.013630731102850069,0.0034924330616996624,0.010138298041150406,74.3782410837125
2023-02-22,HPG,cart,2023-02-17,2023-02-22,3d,3,0.00942803268384651,-0.011627906976744207,0.021055939660590717,223.3333333333352
2023-02-23,HPG,cart,2023-02-20,2023-02-23,3d,3,-0.018083182640144746,-0.011627906976744207,0.006455275663400539,35.69767441860483
2023-02-24,HPG,cart,2023-02-21,2023-02-24,3d,3,-0.03667481662591687,0.0,0.03667481662591687,100.0
2023-02-27,HPG,cart,2023-02-22,2023-02-27,3d,3,-0.05168119551681183,0.0,0.05168119551681183,100.0
2023-02-28,HPG,cart,2023-02-23,2023-02-28,3d,3,-0.06998158379373842,-0.00898045430533534,0.06100112948840308,87.16740345316553
2023-03-01,HPG,cart,2023-02-24,2023-03-01,3d,3,0.004441624365482344,-0.006095496105655296,0.01053712047113764,237.2357408930358
2023-01-03,HPG,lightgbm,2022-12-28,2023-01-03,3d,3,0.057287889775199385,0.0495587237885385,0.007729165986660888,13.491797336209329
2023-01-04,HPG,lightgbm,2022-12-29,2023-01-04,3d,3,0.07771260997067442,0.047693102576259506,0.03001950739441491,38.628875552813184
2023-01-05,HPG,lightgbm,2022-12-30,2023-01-05,3d,3,0.0997067448680351,0.055292819202730735,0.04441392566530437,44.54455485843766
2023-01-06,HPG,lightgbm,2023-01-03,2023-01-06,3d,3,0.008230452674897082,0.02002002024129027,0.011789567566393187,143.24324593167788
2023-01-09,HPG,lightgbm,2023-01-04,2023-01-09,3d,3,0.010204081632653184,0.02658587589873796,0.016381794266084777,160.54158380762888
2023-01-10,HPG,lightgbm,2023-01-05,2023-01-10,3d,3,0.0,0.012293928467965428,0.012293928467965428,
2023-01-11,HPG,lightgbm,2023-01-06,2023-01-11,3d,3,0.04081632653061229,0.015679218564135868,0.025137107966476422,61.58591451786717
2023-01-12,HPG,lightgbm,2023-01-09,2023-01-12,3d,3,0.02289562289562297,0.025566688459026862,0.0026710655634038932,11.66627165192579
2023-01-13,HPG,lightgbm,2023-01-10,2023-01-13,3d,3,0.007333333333333192,0.04256581675314274,0.03523248341980955,480.44295572468496
2023-01-16,HPG,lightgbm,2023-01-11,2023-01-16,3d,3,0.002614379084967311,0.024481658567398396,0.021867279482431085,836.423440202992
2023-01-17,HPG,lightgbm,2023-01-12,2023-01-17,3d,3,0.07965766951942066,0.017386589226531433,0.062271080292889226,78.17336443380061
2023-01-18,HPG,lightgbm,2023-01-13,2023-01-18,3d,3,0.08802117802779619,0.028370625502371526,0.05965055252542466,67.76840967362153
2023-01-19,HPG,lightgbm,2023-01-16,2023-01-19,3d,3,0.04432855280312897,0.025702541735123607,0.018626011068005367,42.018089674000436
2023-01-27,HPG,lightgbm,2023-01-17,2023-01-27,3d,3,-0.006707317073170738,0.015652966803562082,0.02236028387673282,333.371505071289
2023-01-30,HPG,lightgbm,2023-01-18,2023-01-30,3d,3,0.0024330900243307862,0.004576477224291871,0.002143387199961085,88.09321391840473
2023-01-31,HPG,lightgbm,2023-01-19,2023-01-31,3d,3,0.04494382022471899,-0.009657379289307615,0.0546011995140266,121.4876689187095
2023-02-01,HPG,lightgbm,2023-01-27,2023-02-01,3d,3,-0.019030079803560418,0.0030767913696596173,0.022106871173220036,116.1680423908888
2023-02-02,HPG,lightgbm,2023-01-30,2023-02-02,3d,3,-0.020631067961165095,0.01142385475774377,0.03205492271890886,155.37209600224026
2023-02-03,HPG,lightgbm,2023-01-31,2023-02-03,3d,3,-0.04540023894862588,-0.00020643454906185164,0.04519380439956403,99.5453007432506
2023-02-06,HPG,lightgbm,2023-02-01,2023-02-06,3d,3,0.0025031289111387967,0.02392492471528536,0.021421795804146562,855.8007423756985
2023-02-07,HPG,lightgbm,2023-02-02,2023-02-07,3d,3,-0.07311028500619576,0.013849486366721751,0.08695977137291752,118.94328050499061
2023-02-08,HPG,lightgbm,2023-02-03,2023-02-08,3d,3,-0.011889862327910006,0.02210193370158848,0.033991796029498485,285.88889502704234
2023-02-09,HPG,lightgbm,2023-02-06,2023-02-09,3d,3,-0.025593008739076217,0.03880473062256526,0.06439773936164148,251.62238648133996
2023-02-10,HPG,lightgbm,2023-02-07,2023-02-10,3d,3,0.03810160427807485,0.01935918800773785,0.018742416270337,49.190622351621336
2023-02-13,HPG,lightgbm,2023-02-08,2023-02-13,3d,3,-0.031032298923369117,0.009794198521962522,0.040826497445331636,131.5613050330181
2023-02-14,HPG,lightgbm,2023-02-09,2023-02-14,3d,3,0.0,0.019486406731067687,0.019486406731067687,
2023-02-15,HPG,lightgbm,2023-02-10,2023-02-15,3d,3,0.01481004507405026,0.02599350970607417,0.01118346463202391,75.51269814579605
2023-02-16,HPG,lightgbm,2023-02-13,2023-02-16,3d,3,0.05490196078431375,0.04407049321305765,0.010831467571256102,19.72874450478789
2023-02-17,HPG,lightgbm,2023-02-14,2023-02-17,3d,3,0.019218449711723373,0.026548796574973055,0.0073303468632496815,38.14223817844227
2023-02-20,HPG,lightgbm,2023-02-15,2023-02-20,3d,3,0.05266497461928932,0.016628800041503855,0.03603617457778546,68.42531461998784
2023-02-21,HPG,lightgbm,2023-02-16,2023-02-21,3d,3,0.013630731102850069,0.018583163571711234,0.004952432468861165,36.33284547609962
2023-02-22,HPG,lightgbm,2023-02-17,2023-02-22,3d,3,0.00942803268384651,0.016355273436002637,0.006927240752156127,73.4749335778703
2023-02-23,HPG,lightgbm,2023-02-20,2023-02-23,3d,3,-0.018083182640144746,0.016947913630060416,0.03503109627020516,193.7219623742337
2023-02-24,HPG,lightgbm,2023-02-21,2023-02-24,3d,3,-0.03667481662591687,0.023328335576950045,0.06000315220286692,163.6085950064838
